"beta_error","beta_sd_avg","omega_error","omega_sd_avg","rho_error","rho_sd_avg","rho","N","n_reps","beta_free","omega_var","Tfull"
0.0741446657843858,0.544766313941764,0.277132189705905,1.18235851288203,0.0262001500252666,0.0881224476776085,-0.9,20,500,1,1,3
0.0556675179756331,0.472969638647864,0.179930662230707,0.956434902777832,0.0714522316653645,0.17231255534101,-0.8,20,500,1,1,3
0.0603995778227938,0.444101089596596,0.109829209200021,0.8153290222923,0.0978514036989661,0.243260645117236,-0.7,20,500,1,1,3
0.0636902853358785,0.434516050471546,0.154383557157059,0.80506240021197,0.132114510542727,0.323559072914414,-0.6,20,500,1,1,3
0.0641567796528652,0.424622416438146,0.105769519304368,0.772356893416277,0.135714515013242,0.37760135855364,-0.5,20,500,1,1,3
0.113991400504611,0.442821370660622,0.166181076443542,0.841744866575236,0.129956653078065,0.443026143942588,-0.4,20,500,1,1,3
0.109614837385914,0.425544108323024,0.156793764953,0.798893583398235,0.13027937650064,0.466883816930336,-0.3,20,500,1,1,3
0.0783886201707472,0.418602671000843,0.124083120441126,0.772605673571052,0.142661637935535,0.536925511345806,-0.2,20,500,1,1,3
0.0911428011573165,0.42373918522427,0.189523165744019,0.832763680083867,0.126048164270229,0.566254068358634,-0.1,20,500,1,1,3
0.0827837267348934,0.415092901308858,0.194076255631959,0.828860678699697,0.0922083155758287,0.61613664233935,0,20,500,1,1,3
0.0776100449944675,0.42452136053398,0.213768714381658,0.85244915129721,0.0452677051112036,0.629339742943192,0.1,20,500,1,1,3
0.1244754010563,0.409817059927015,0.0884480892235994,0.746330939259724,-0.0160060792870313,0.676071579492343,0.2,20,500,1,1,3
0.115551227781499,0.414383258438132,0.152679811212614,0.803344048743497,0.00578601779095343,0.656078412936613,0.3,20,500,1,1,3
0.129137282941659,0.426276640637448,0.257114252216187,0.897743956215517,-0.10009754880421,0.70796597508228,0.4,20,500,1,1,3
0.0842675482387322,0.405588415371991,0.158660499522059,0.790203702111896,-0.146031755213102,0.693780155682106,0.5,20,500,1,1,3
0.11103431975147,0.427356118239253,0.238209887531402,0.883368263863346,-0.205322972349257,0.656489593647539,0.6,20,500,1,1,3
0.101090777934042,0.420120831472899,0.16935202440726,0.845366104963214,-0.194843939286728,0.66016089994809,0.7,20,500,1,1,3
0.107053137837475,0.417970209466834,0.188426481431032,0.878909962845007,-0.234893665105156,0.582811597649024,0.8,20,500,1,1,3
0.095609047468222,0.439131717672099,0.31690724614597,1.03467606049619,-0.197604236887553,0.436111117271323,0.9,20,500,1,1,3
0.0905087910338068,0.404226248560624,0.209385617439052,0.750942703934174,0.00625955796199928,0.0582546553785059,-0.9,30,500,1,1,3
0.0423680327959564,0.367929052328649,0.119802233910529,0.667600268081024,0.0283983139677329,0.119325015498508,-0.8,30,500,1,1,3
0.0439653758198336,0.34723348761231,0.112711017593356,0.604553988482779,0.0548770346234528,0.173886786259088,-0.7,30,500,1,1,3
0.0774868165897456,0.351597267606825,0.155360599226041,0.626345139174401,0.0787003300252478,0.23018821092709,-0.6,30,500,1,1,3
0.0394678795795478,0.325526187038157,0.0450584869688664,0.544026929336416,0.0969361134658396,0.265958173834936,-0.5,30,500,1,1,3
0.0797680702678387,0.33191358287268,0.102760290397205,0.575613582913543,0.107451372903868,0.323090872411533,-0.4,30,500,1,1,3
0.0381464508274716,0.314408084183749,0.0276248927871727,0.522495742263802,0.108387366380685,0.364458931673268,-0.3,30,500,1,1,3
0.025927474124545,0.312701738570214,0.034287410044545,0.529880528387073,0.139355842143704,0.408546392372898,-0.2,30,500,1,1,3
0.0414764687840622,0.309169504624214,0.0328339209425446,0.5307461122736,0.128455993898498,0.449125948997782,-0.1,30,500,1,1,3
0.064236708402562,0.315023694642588,0.0939663004995735,0.567065989263081,0.0849744724708759,0.458848809811716,0,30,500,1,1,3
0.0834384525169533,0.320440264049805,0.147849736487053,0.591632693616551,0.0461183631945577,0.469417890188596,0.1,30,500,1,1,3
0.0460648317275119,0.311271038062043,0.0734587836745365,0.553015904861411,0.0274063041534278,0.517460197678326,0.2,30,500,1,1,3
0.0701966143618334,0.314933728728201,0.0969451002581605,0.565349252506998,-0.018719547022222,0.509015707582696,0.3,30,500,1,1,3
0.0955069587561771,0.319063523755542,0.154373713764596,0.611799545697611,-0.0546047955934633,0.51907483323619,0.4,30,500,1,1,3
0.0889432442793059,0.317860530873774,0.149396546959354,0.603694158550469,-0.12609281597442,0.504265478332864,0.5,30,500,1,1,3
0.0796762772931208,0.319774155944085,0.161224003659708,0.622353943250029,-0.156749059966536,0.503664150174055,0.6,30,500,1,1,3
0.058098467570547,0.31837648726111,0.123849756814149,0.593511969012024,-0.17782735206388,0.457920396377103,0.7,30,500,1,1,3
0.0518148877535174,0.31410298848623,0.107164376412152,0.608134869091984,-0.171213893242272,0.397045793882113,0.8,30,500,1,1,3
0.0617901797348766,0.330649200090468,0.185018031337224,0.704466162256253,-0.105529894698046,0.220215473702574,0.9,30,500,1,1,3
0.0193732761652045,0.320515985845473,0.0700636407627373,0.533902822879227,0.0111230785478263,0.0506640403838784,-0.9,40,500,1,1,3
0.0491848539856686,0.304147611066905,0.0806521450944844,0.505603759096643,0.023353000275307,0.0969974372520033,-0.8,40,500,1,1,3
0.0398235830760351,0.295164409713052,0.077566588207108,0.486834266666628,0.0255261097255294,0.135808754175673,-0.7,40,500,1,1,3
0.0501293532849387,0.285416149472539,0.0732213814520382,0.474765088555249,0.0466539191031925,0.17888467082209,-0.6,40,500,1,1,3
0.0307978877933693,0.277865960516704,0.0527994451438755,0.45973048497251,0.0842948459225577,0.235224587793201,-0.5,40,500,1,1,3
0.0245576338672301,0.271268580608805,0.0498308333896035,0.450633198216086,0.0642230257890452,0.263747953758608,-0.4,40,500,1,1,3
